Order ID,Order Date,City,Customer Type,Meal Type,Cuisine,Restaurant,Items Ordered,Order Amount,Delivery Fee,Total Amount,Delivery Time (min),Payment Method,Customer Rating
FD-00001,2025-08-17 18:06:00,Khobar,Normal,Dinner,Healthy,Urban Bites,2,61.35,12.37,75.75,39,E-Wallet,9.5
FD-00002,2025-09-08 10:25:00,Jeddah,Member,Breakfast,Saudi,Rice & Spice,6,88.88,13.53,106.43,34,E-Wallet,8.4
FD-00003,2025-09-03 12:30:00,Riyadh,Member,Lunch,Healthy,Family Grill,7,314.02,5.73,315.07,38,E-Wallet,9.3
FD-00004,2025-07-20 14:26:00,Khobar,Member,Lunch,Italian,Family Grill,1,24.14,3.83,26.74,40,E-Wallet,8.0
FD-00005,2025-02-13 19:03:00,Dammam,Member,Dinner,Italian,Wok Express,3,160.83,12.23,179.41,36,E-Wallet,8.0
FD-00006,2025-11-06 12:40:00,Jeddah,Member,Lunch,Asian,Pasta House,5,142.27,10.38,149.74,35,E-Wallet,8.4
FD-00007,2025-03-18 20:30:00,Jeddah,Member,Dinner,Saudi,Urban Bites,8,132.21,7.57,139.16,43,Cash,7.3
FD-00008,2025-07-03 15:05:00,Riyadh,Member,Lunch,Saudi,Pasta House,3,80.48,8.1,84.53,40,Credit Card,8.8
FD-00009,2025-06-30 18:40:00,Khobar,Normal,Dinner,Italian,Wok Express,8,198.86,10.38,217.24,27,Cash,9.6
FD-00010,2025-04-02 08:32:00,Riyadh,Normal,Breakfast,Healthy,Pasta House,4,127.48,14.37,146.29,55,Credit Card,7.4
FD-00011,2025-02-27 15:52:00,Jeddah,Member,Lunch,Asian,Pasta House,2,29.77,14.99,39.43,36,Cash,7.7
FD-00012,2025-01-27 19:34:00,Dammam,Member,Dinner,Italian,Wok Express,8,334.02,9.6,343.44,36,E-Wallet,8.7
FD-00013,2025-08-27 20:11:00,Dammam,Normal,Dinner,Saudi,Urban Bites,2,108.25,4.48,113.15,39,E-Wallet,9.9
FD-00014,2025-11-20 10:40:00,Makkah,Member,Breakfast,Saudi,Burger Hub,5,134.14,6.96,143.54,31,Credit Card,9.0
FD-00015,2025-05-13 12:14:00,Khobar,Normal,Lunch,Asian,Rice & Spice,3,128.92,7.74,133.66,30,Cash,8.7
FD-00016,2025-10-10 15:27:00,Khobar,Normal,Lunch,Saudi,Rice & Spice,6,308.76,9.64,330.52,41,E-Wallet,7.6
FD-00017,2025-01-16 14:26:00,Jeddah,Member,Lunch,Italian,Green Bowl,4,205.78,6.79,203.69,29,Credit Card,9.5
FD-00018,2025-10-10 10:59:00,Makkah,Normal,Breakfast,American,Urban Bites,8,135.31,10.0,145.7,29,Cash,7.6
FD-00019,2025-02-22 17:54:00,Dammam,Normal,Snack,American,Burger Hub,6,125.88,8.39,141.79,52,Credit Card,6.8
FD-00020,2025-06-14 22:16:00,Makkah,Normal,Dinner,Healthy,Family Grill,6,191.49,7.81,203.79,32,Credit Card,8.6
FD-00021,2025-01-19 18:54:00,Dammam,Normal,Snack,American,Green Bowl,7,189.86,14.67,202.88,38,Credit Card,9.1
FD-00022,2025-10-11 15:42:00,Dammam,Member,Lunch,Italian,Green Bowl,5,130.53,6.12,137.98,27,Credit Card,10.0
FD-00023,2025-12-06 12:36:00,Riyadh,Member,Lunch,Healthy,Wok Express,2,52.33,7.65,68.02,36,E-Wallet,8.6
FD-00024,2025-05-27 12:07:00,Jeddah,Member,Lunch,Healthy,Rice & Spice,6,230.62,8.55,234.68,31,Credit Card,8.2
FD-00025,2025-02-24 15:40:00,Khobar,Normal,Lunch,Asian,Family Grill,5,185.6,6.68,190.31,33,Credit Card,7.6
FD-00026,2025-11-29 13:47:00,Riyadh,Member,Lunch,Healthy,Urban Bites,6,271.26,12.42,282.5,44,E-Wallet,8.8
FD-00027,2025-03-22 07:10:00,Riyadh,Normal,Breakfast,Asian,Urban Bites,7,269.74,4.92,277.07,39,Cash,8.6
FD-00028,2025-06-15 16:27:00,Dammam,Member,Snack,Asian,Pasta House,6,95.11,11.56,97.9,27,E-Wallet,9.0
FD-00029,2025-11-18 19:20:00,Jeddah,Member,Dinner,Asian,Najd Kitchen,4,202.21,8.61,214.28,35,E-Wallet,8.2
FD-00030,2025-07-02 22:40:00,Jeddah,Member,Dinner,Italian,Taste of Jeddah,6,110.23,5.78,114.14,28,E-Wallet,9.1
FD-00031,2025-02-08 10:08:00,Jeddah,Member,Breakfast,Italian,Green Bowl,5,85.75,12.07,89.32,19,E-Wallet,8.5
FD-00032,2025-10-28 15:10:00,Riyadh,Member,Lunch,Healthy,Wok Express,2,70.5,7.15,79.6,30,E-Wallet,8.5
FD-00033,2025-11-22 17:41:00,Riyadh,Member,Snack,Asian,Wok Express,7,82.47,7.55,87.66,39,Credit Card,8.0
FD-00034,2025-02-17 08:50:00,Jeddah,Normal,Breakfast,American,Rice & Spice,7,331.55,5.7,345.69,30,E-Wallet,8.1
FD-00035,2025-09-26 13:12:00,Riyadh,Normal,Lunch,Healthy,Najd Kitchen,6,182.59,9.75,187.28,30,Cash,8.8
FD-00036,2025-10-10 21:40:00,Makkah,Normal,Dinner,Asian,Burger Hub,5,123.05,14.06,136.82,28,Cash,8.8
FD-00037,2025-10-03 14:04:00,Riyadh,Member,Lunch,Asian,Urban Bites,5,227.76,10.59,246.69,39,Credit Card,8.9
FD-00038,2025-10-24 13:08:00,Makkah,Member,Lunch,Asian,Taste of Jeddah,3,64.2,5.49,67.01,44,E-Wallet,7.8
FD-00039,2025-03-02 10:44:00,Khobar,Normal,Breakfast,Italian,Family Grill,6,243.84,7.62,248.98,44,E-Wallet,7.9
FD-00040,2025-09-18 17:48:00,Jeddah,Normal,Snack,Saudi,Pasta House,2,72.08,7.1,81.74,38,E-Wallet,8.6
FD-00041,2025-11-20 20:14:00,Dammam,Member,Dinner,American,Green Bowl,2,114.82,12.69,124.89,34,Credit Card,7.6
FD-00042,2025-06-11 15:42:00,Dammam,Member,Lunch,American,Family Grill,4,67.32,13.26,86.8,15,E-Wallet,8.8
FD-00043,2025-10-03 09:48:00,Makkah,Normal,Breakfast,Asian,Rice & Spice,2,35.42,13.74,45.86,38,E-Wallet,7.5
FD-00044,2025-04-04 18:59:00,Khobar,Normal,Snack,American,Family Grill,1,14.33,6.41,25.56,26,E-Wallet,9.3
FD-00045,2025-06-17 16:24:00,Riyadh,Member,Snack,Asian,Rice & Spice,5,124.94,6.57,132.81,35,Credit Card,8.4
FD-00046,2025-03-08 22:28:00,Jeddah,Normal,Dinner,Saudi,Burger Hub,7,263.29,11.64,271.63,39,Cash,8.8
FD-00047,2025-12-07 13:17:00,Khobar,Member,Lunch,Healthy,Wok Express,8,370.88,8.03,371.8,37,E-Wallet,8.8
FD-00048,2025-12-04 14:06:00,Riyadh,Normal,Lunch,Italian,Rice & Spice,4,173.24,7.29,182.74,34,Credit Card,9.0
FD-00049,2025-12-17 09:45:00,Riyadh,Member,Breakfast,Healthy,Daily Dish,4,111.74,8.84,126.57,46,E-Wallet,8.4
FD-00050,2025-08-10 13:27:00,Makkah,Member,Lunch,Italian,Burger Hub,5,87.83,12.41,101.12,26,Credit Card,8.5
FD-00051,2025-09-01 19:12:00,Riyadh,Member,Dinner,American,Rice & Spice,8,468.39,10.57,474.99,55,E-Wallet,7.1
FD-00052,2025-06-18 14:19:00,Jeddah,Member,Lunch,Italian,Green Bowl,5,129.3,9.81,145.14,38,E-Wallet,8.4
FD-00053,2025-08-29 16:44:00,Khobar,Member,Snack,Asian,Wok Express,3,105.91,4.47,112.07,39,E-Wallet,9.0
FD-00054,2025-07-29 13:32:00,Jeddah,Member,Lunch,American,Burger Hub,7,206.85,8.93,223.02,17,E-Wallet,8.9
FD-00055,2025-07-09 18:33:00,Khobar,Member,Dinner,Italian,Pasta House,3,58.12,7.96,70.78,49,Credit Card,8.2
FD-00056,2025-11-26 21:40:00,Jeddah,Member,Dinner,Saudi,Rice & Spice,2,44.29,14.01,64.88,58,E-Wallet,8.3
FD-00057,2025-10-01 12:33:00,Dammam,Member,Lunch,Italian,Rice & Spice,6,254.72,6.77,255.08,24,Cash,9.0
FD-00058,2025-05-03 18:23:00,Jeddah,Normal,Dinner,American,Pasta House,8,231.32,10.57,241.04,33,Credit Card,9.2
FD-00059,2025-04-24 13:13:00,Jeddah,Normal,Lunch,Asian,Green Bowl,6,222.93,8.52,225.98,52,E-Wallet,7.9
FD-00060,2025-09-04 14:19:00,Jeddah,Member,Lunch,Asian,Burger Hub,5,244.84,14.82,268.4,37,Credit Card,8.9
FD-00061,2025-10-30 13:25:00,Jeddah,Member,Lunch,Asian,Najd Kitchen,5,174.1,4.79,176.49,39,Cash,9.0
FD-00062,2025-03-22 13:43:00,Riyadh,Member,Lunch,Saudi,Urban Bites,5,221.34,6.37,231.77,36,E-Wallet,8.5
FD-00063,2025-07-31 21:47:00,Riyadh,Member,Dinner,American,Wok Express,7,128.92,10.0,141.92,51,Credit Card,8.1
FD-00064,2025-03-23 21:45:00,Riyadh,Member,Dinner,American,Daily Dish,7,244.01,12.86,258.55,42,E-Wallet,6.8
FD-00065,2025-11-07 18:28:00,Makkah,Member,Dinner,Asian,Green Bowl,3,58.71,11.66,62.93,39,Credit Card,8.6
FD-00066,2025-12-14 21:21:00,Khobar,Normal,Dinner,Healthy,Rice & Spice,2,68.54,6.96,78.62,41,Credit Card,7.7
FD-00067,2025-09-27 19:29:00,Riyadh,Member,Dinner,Saudi,Family Grill,8,210.05,8.91,219.2,44,Cash,7.3
FD-00068,2025-08-31 17:11:00,Riyadh,Normal,Snack,Asian,Green Bowl,4,85.52,6.43,88.15,41,Cash,6.8
FD-00069,2025-06-25 15:03:00,Riyadh,Normal,Lunch,Italian,Burger Hub,1,21.02,11.97,32.59,30,E-Wallet,9.8
FD-00070,2025-04-24 20:46:00,Riyadh,Member,Dinner,American,Rice & Spice,4,94.4,11.59,111.6,34,Cash,8.3
FD-00071,2025-05-31 19:54:00,Dammam,Member,Dinner,Italian,Najd Kitchen,1,20.02,8.3,28.64,39,E-Wallet,7.2
FD-00072,2025-06-03 19:51:00,Dammam,Normal,Dinner,Italian,Burger Hub,5,96.74,14.99,101.38,15,E-Wallet,9.5
FD-00073,2025-03-17 22:14:00,Riyadh,Member,Dinner,Saudi,Pasta House,7,133.13,8.28,142.41,34,E-Wallet,9.2
FD-00074,2025-01-16 18:55:00,Makkah,Normal,Snack,Asian,Daily Dish,7,168.86,8.08,179.43,33,Credit Card,8.4
